"(Intercept)","logAI_snv","logARVI_snv","logElev_snv","logEVI_snv","logHeight_snv","logLAI_snv","logMAP_snv","logMAT_snv","logNDVI_snv","logPRI_snv","logPropBare_snv","logPropShrub_snv","logSAVI_snv","df","logLik","AIC","delta","weight"
-1.85981785663324e-16,0.26264284329638,-0.150961202611715,-0.0290393335763227,0.0678973719169285,0.39705922497282,NA,NA,-0.246325896808085,NA,NA,-0.113601387304414,0.123864398798215,0.3073629835476,11,-139.273252733708,300.546505467416,10.7612464364695,9.25629361399624e-05
3.06698284839793e-17,0.18891944064615,NA,NA,NA,0.423442528928363,NA,NA,-0.205333015206984,0.489830688032019,0.00799637651682461,0.0216005294733092,NA,-0.112788620074597,9,-141.275062026994,300.550124053987,10.7648650230403,9.23956140541362e-05
1.74453715907034e-18,0.191049134869159,NA,-0.0165839542101063,NA,0.426485226777484,NA,NA,-0.217820246173896,0.472672774877838,NA,0.0248415841385282,NA,-0.102505926449624,9,-141.275163290712,300.550326581425,10.7650675504779,9.23862582043667e-05
4.31143259327625e-16,NA,-0.159002502967038,0.377529170557608,-0.518860442081601,0.488303878841732,0.799265002200598,0.200367793250846,NA,NA,-0.280062042284224,NA,NA,NA,9,-141.275686686819,300.551373373638,10.7661143426907,9.23379162486354e-05
8.74912825736174e-17,0.543331841375387,NA,-0.0793697615452778,-0.0644598514730777,0.367497683825442,NA,-0.342906356147459,NA,0.452268537787997,-0.00944178530295507,NA,0.084589687765667,NA,10,-140.278567621062,300.557135242125,10.771876211178,9.2072279608304e-05
-2.88597387741969e-16,0.276682300269175,-0.137044247511786,0.0165576545641922,0.180688830600024,0.402698746058165,0.794618253813103,NA,-0.192033664055547,NA,NA,NA,0.0959826946336648,-0.573750444722392,11,-139.279695687943,300.559391375885,10.7741323449384,9.19684744796653e-05
-1.77675385404672e-16,0.341708236541774,-0.152474036137198,-0.0633739687677257,NA,0.39364708532982,NA,-0.0823467796071168,-0.21893396684476,NA,NA,-0.126886957735339,0.130967394193652,0.376310693310859,11,-139.279962853658,300.559925707315,10.7746666763686,9.1943906938364e-05
-5.74033945286441e-16,NA,-0.155942575396516,-0.0762480540446629,-0.316993254867405,0.329988582351659,0.876479675959329,0.291798192257028,-0.505525950641973,0.450923894967788,-0.0238758216959582,NA,0.073208081147069,-0.586202539796831,13,-137.280689650764,300.561379301529,10.7761202705817,9.18771066509044e-05
1.96437627799664e-16,0.220668838569605,NA,0.169255704413161,0.265237314583235,0.36838323749493,NA,NA,NA,0.400596527747458,NA,NA,0.071995134313063,-0.293578961822218,9,-141.281125867192,300.562251734383,10.7769927034365,9.18370370878147e-05
1.9132615005649e-16,0.450934776110929,NA,NA,0.269831374419041,0.520390844820062,0.0657497495486856,-0.287664857552255,NA,NA,NA,NA,NA,NA,7,-143.282372744137,300.564745488274,10.7794864573274,9.17225989634892e-05
1.30561319034442e-16,0.425520619907282,NA,0.0352713180835917,0.337258559743745,0.445316135304445,NA,-0.215128424984267,NA,NA,NA,NA,0.0929393028129714,NA,8,-142.282550372225,300.565100744451,10.7798417135037,9.17063079005103e-05
-3.08251992444858e-16,0.285681213859968,-0.137155739446591,NA,0.1638340276735,0.402392078093784,0.789197402888546,-0.00785379978481884,-0.20174513315777,NA,NA,NA,0.0970085990490275,-0.55242955100638,11,-139.283217753962,300.566435507923,10.7811764769764,9.16451252038901e-05
8.28221762025955e-17,0.548608578402055,NA,-0.0831503856275211,-0.0403971053067678,0.366456922483123,-0.0219663086635938,-0.34815356838058,NA,0.455757822167982,NA,NA,0.0851307211713859,NA,10,-140.283822072442,300.567644144884,10.7823851139366,9.15897590921829e-05
1.65816291300301e-16,0.575048214517277,NA,NA,0.344677682052645,0.441747806856858,NA,-0.369602049713812,0.093378892223876,NA,NA,NA,0.0987333618845617,NA,8,-142.286106753388,300.572213506775,10.7869544758285,9.13807445714061e-05
5.46458592592205e-17,0.228393774626752,-0.160870114655401,NA,-0.517088175337146,0.511471467765243,NA,NA,-0.2209667371512,NA,-0.177660351320109,0.000687268556321137,NA,0.81703289861374,10,-140.286800278408,300.573600556816,10.7883415258686,9.13173917096326e-05
-4.47655117504575e-16,0.264880335744477,-0.147174298969478,-0.0396068194108955,0.0308165841141461,0.348201501562757,1.28261108123461,NA,-0.268711583308614,NA,NA,-0.182632269042572,0.139988843578748,-0.93598316408166,12,-138.289363073593,300.578726147186,10.7934671162387,9.10836635644567e-05
-2.03221335366239e-16,0.24057984606465,NA,NA,NA,0.42341000435937,0.964855550310221,NA,-0.229340045063554,NA,NA,NA,0.0942531133634936,-0.636885838974448,8,-142.290421669617,300.580843339233,10.7955843082863,9.0987293777708e-05
3.45303394578866e-16,0.18251861582576,NA,0.18913225130799,0.218228978792405,0.433950329173593,-0.244767935636693,NA,NA,0.394760285830686,NA,NA,NA,NA,8,-142.291694101783,300.583388203566,10.7981291726193,9.08715922451491e-05
8.71055726007273e-17,0.540289239616485,NA,-0.0769999268377425,NA,0.368210148117418,-0.0534443760838052,-0.340457568205874,NA,0.448902887649029,0.00526157228126154,NA,0.0847157122302328,NA,10,-140.29169828812,300.583396576241,10.7981375452936,9.08712118268228e-05
-3.09011559424807e-16,0.367562994088397,-0.144838331441773,NA,0.11359410038802,0.349989127986028,1.24880182161218,-0.115375000751431,-0.136930653886954,NA,NA,-0.180370386003159,0.139762478177803,-0.974000928512601,12,-138.291922329113,300.583844658226,10.7985856272792,9.08508552307515e-05
-4.54640276905315e-16,0.283789301005281,-0.147930096281678,-0.0538890987722558,NA,0.346877121968785,1.28600034635073,-0.0190857265723138,-0.269323312509842,NA,NA,-0.187533767207706,0.142468930878878,-0.909013916736709,12,-138.292796907924,300.585593815847,10.8003347849004,9.07714337330814e-05
-2.30267580625164e-17,0.431245904768538,NA,NA,0.350384245711119,0.390879058750017,0.80924462164455,-0.26259343572549,NA,0.531427905879551,0.0720533987687628,NA,NA,-1.24727839512969,10,-140.292950565944,300.585901131888,10.8006421009416,9.07574870457878e-05
1.02262663287879e-16,0.469083023384617,NA,NA,0.299703754341873,0.443412983623451,NA,-0.257159411074281,NA,NA,NA,NA,0.0961949766511037,0.0376271567343643,8,-142.298304030133,300.596608060267,10.8113490293201,9.02729183069707e-05
1.87763567254446e-17,0.184381908495973,NA,-0.00878619768598373,0.0184722606794135,0.428096911841117,NA,NA,-0.213660408492149,0.458175540193782,NA,NA,NA,-0.111854659976358,9,-141.299067924641,300.598135849283,10.8128768183359,9.02039856524529e-05
-7.35210465063118e-17,0.230809103411613,NA,NA,0.164460925311363,0.440318897069691,0.158880966835053,NA,-0.213157057101693,NA,NA,NA,0.0922731767543405,NA,8,-142.299866906851,300.599733813702,10.8144747827556,9.01319430568695e-05
3.16945038003546e-16,0.715061611705869,-0.161124844769678,0.102681371020409,-0.674890799335089,0.413327184308349,0.981562405457546,-0.475472742412847,0.283638057037706,NA,-0.284658256882958,NA,0.0987631258027495,NA,12,-138.302119812274,300.604239624547,10.8189805936002,8.99291128780271e-05
-1.49296238194124e-16,0.224829987004935,-0.13335498585434,0.0592562594666649,0.245798503966568,0.481007609182297,0.801784100646806,NA,-0.171954378573995,NA,NA,NA,NA,-0.650505803704426,10,-140.303226787921,300.606453575843,10.8211945448959,8.98296186190598e-05
1.15146467582071e-17,0.517141665304996,-0.138778941447743,-0.0030768766674855,NA,0.491614860928176,0.664266640737024,-0.30212585105793,NA,NA,NA,NA,NA,-0.258486975238307,9,-141.303632083078,300.607264166155,10.8220051352084,8.97932184866434e-05
1.2238930551959e-16,0.640160558111508,-0.153057906586125,NA,-0.254092852637995,0.38331585831355,0.821318168107798,-0.451204043249746,0.153519056927953,0.523996099569944,-0.0809462889632,-0.0307259835604743,NA,-0.643414370258248,13,-137.304631567223,300.609263134447,10.8240041035,8.97035164237247e-05
-2.88539965162246e-16,NA,-0.133303506133807,0.0496637198687785,0.392344815280474,0.42939147074405,NA,0.277981450788443,-0.37734397048969,NA,0.0441456126648461,NA,0.0833607538606331,NA,10,-140.30645950987,300.61291901974,10.8276599887929,8.95396933157581e-05
1.17047288290611e-16,0.180254460988533,NA,0.0683854251119524,0.317760621165704,0.518034703688643,NA,NA,-0.158966472397186,NA,NA,NA,NA,NA,7,-143.308563948603,300.617127897207,10.8318688662597,8.93514606484941e-05
2.67349254693151e-16,0.866410499940113,-0.167609935455899,-0.0194744018636748,-0.528710540545648,0.319687685600286,0.50334374195037,-0.6493471704891,0.305499108132653,0.441715000722778,-0.151210804343636,-0.0847871103689797,0.112660147611669,NA,14,-136.308632703949,300.617265407899,10.8320063769518,8.93453174690891e-05
1.27940657894534e-16,0.290113279745728,-0.160956278905055,0.187672664294417,NA,0.37415555570521,NA,NA,NA,NA,NA,-0.113353908016435,0.132376874525493,0.376659452039647,9,-141.309981925262,300.619963850525,10.8347048195781,8.92248521479937e-05
9.22561329695447e-17,0.466298199976242,NA,NA,0.336954123239154,0.443575729888682,NA,-0.253961652849705,NA,NA,0.00256659861819747,NA,0.0954635276902844,NA,8,-142.310770456532,300.621540913063,10.8362818821163,8.91545232939852e-05
-1.06248182224369e-16,0.451125514675768,-0.133764920435876,0.0531507994371589,0.284319690195782,0.403062122143515,0.742370322259036,-0.191593954056136,NA,NA,NA,NA,0.0983772156324557,-0.610449530970864,11,-139.311683894098,300.623367788195,10.8381087572483,8.90731233857566e-05
-2.10564110798893e-16,NA,NA,NA,0.565065174248692,0.405901214640827,NA,0.191625052605162,-0.366736288612545,0.52194364676114,0.163207192729993,NA,NA,-0.636952202357077,9,-141.312981722756,300.625963445511,10.8407044145645,8.89575967166871e-05
3.66526995859928e-16,0.179473171719838,NA,0.212370520241325,NA,0.509232555076471,0.267634910388624,NA,NA,NA,-0.121776542507677,NA,NA,NA,7,-143.313222957529,300.626445915058,10.8411868841108,8.89361396392246e-05
2.66898905654651e-16,0.714503687930368,-0.152971233806236,0.0471017915522647,-0.268724123009715,0.388934319682716,0.754509567149817,-0.528555619692441,0.267697236841785,0.517217904085687,-0.109202283057537,NA,NA,-0.556319246568583,13,-137.313774170378,300.627548340757,10.8422893098098,8.88871304047711e-05
2.36526148587905e-16,0.36207343993044,-0.146349505649345,0.0966035291678099,NA,0.506875660498351,NA,-0.160607036285244,NA,NA,-0.0959586273784029,-0.00840337967456904,NA,0.356800369340897,10,-140.31396176429,300.62792352858,10.8426644976329,8.88704572842304e-05
-3.59226751335607e-16,NA,-0.137092484268569,0.0307865591755703,0.136066368057859,0.477398887787405,0.869319628506283,0.246647255732594,-0.398746423188532,NA,NA,NA,NA,-0.625627961404675,10,-140.315302107788,300.630604215575,10.8453451846282,8.87514201378278e-05
-3.45707801195849e-16,0.0849110630102099,-0.136470879571542,NA,0.127944837091234,0.47925819681377,0.838774293659153,0.158208878827385,-0.35704661747531,NA,NA,NA,NA,-0.584753462787945,10,-140.316162253853,300.632324507706,10.8470654767592,8.86751137750055e-05
1.04057210410492e-16,0.694540162097069,NA,NA,NA,0.30646081336117,1.12747888333461,-0.515323361853146,0.201904270236134,0.494456576889451,NA,-0.111499323310227,0.108947198490945,-1.2137648223467,11,-139.319235646234,300.638471292467,10.8532122615202,8.84029987283351e-05
1.84890159228571e-16,0.441682656075491,NA,NA,0.325893258549772,0.5219284162173,NA,-0.277031518417221,NA,NA,-0.0069476935322601,NA,NA,NA,7,-143.319310210096,300.638620420193,10.8533613892457,8.83964073050187e-05
1.49686963455954e-16,0.393200026360017,NA,NA,0.326524465604277,0.521294575573143,NA,-0.224910944492503,-0.0436305258063455,NA,NA,NA,NA,NA,7,-143.319321154921,300.638642309841,10.8533832788943,8.83954398271655e-05
