"(Intercept)","logAI_snv","logARVI_snv","logEVI_snv","logHeight_snv","logLAI_snv","logNDVI_snv","logPRI_snv","logPropBare_snv","logPropShrub_snv","logSAVI_snv","df","logLik","AIC","delta","weight"
2.6711562990634e-16,NA,-0.0043197214804149,-0.0224431463033602,0.664679540834069,NA,NA,-0.237309493527684,NA,-0.0993610741498231,NA,7,-169.820709373738,353.641418747476,37.5324156106973,3.16587528239234e-10
2.56010158234209e-16,NA,NA,-0.0642711470879175,0.664407185996865,NA,NA,-0.244957030539203,NA,-0.100418614491222,0.0359897239196976,7,-169.821617196515,353.64323439303,37.5342312562516,3.16300253287229e-10
2.7258369759878e-16,NA,-0.00386492088843919,NA,0.664331991422893,NA,NA,-0.233103710434212,NA,-0.0989981485473783,-0.0199681876449221,7,-169.823089373989,353.646178747978,37.5371756111994,3.15834945771025e-10
2.61674486709036e-16,NA,-0.016865134811227,NA,0.654073894187659,NA,0.0161041787772678,-0.218722102202975,NA,-0.0937778249781998,NA,7,-169.839688350914,353.679376701828,37.57037356505,3.10635679422263e-10
1.83218308817468e-16,NA,-0.0345325289903581,NA,0.519222221517553,-0.31492646966462,0.433169663963175,NA,-0.295404293380681,NA,NA,7,-169.84523937325,353.6904787465,37.581475609722,3.08916110924536e-10
2.68796985366914e-16,NA,-0.00729206274129765,NA,0.66206147062275,-0.0116061260696546,NA,-0.230361904733022,NA,-0.0976913382502718,NA,7,-169.845354756724,353.690709513448,37.5817063766693,3.08880469166873e-10
5.58043770715156e-16,NA,0.0282057458151149,0.793833876749714,0.534921355263305,1.53444753167068,0.293614840876544,-0.00226038304508916,-0.26841040215321,0.001275455425235,-2.53524988893815,11,-165.884695411547,353.769390823094,37.6603876863159,2.96964830528122e-10
5.12513173183296e-16,NA,NA,0.512786200544784,0.590090094873279,1.54027341680502,0.290797596982191,-0.0771170811373728,NA,NA,-2.24874253483073,8,-168.886473779348,353.772947558697,37.6639444219185,2.96437187146451e-10
1.85156082772175e-16,NA,NA,NA,0.531240323259893,-0.340887652800139,0.44392598083093,NA,-0.274847699157056,-0.0232588393003087,NA,7,-169.937678995362,353.875357990724,37.7663548539458,2.81640133101665e-10
6.31736878770086e-16,NA,NA,1.06884868092758,0.661896737803162,1.44449574211629,NA,NA,NA,-0.0696625383263532,-2.41120376310948,7,-169.946285389227,353.892570778455,37.7835676416766,2.79226627873524e-10
5.30622924943507e-16,NA,NA,1.07464476490762,0.660503602988774,NA,NA,NA,NA,-0.0826303355343899,-0.973060070698172,6,-170.968836628666,353.937673257331,37.8286701205529,2.73000192125819e-10
4.24031593056994e-16,NA,0.00458444514550327,0.686581767070086,0.537764012671904,NA,0.29616143812987,-0.0213936271251209,-0.263122445737902,-0.013245422121835,-0.895495489585894,10,-167.042278329487,354.084556658974,37.975553522196,2.53669134583189e-10
3.79908654785675e-16,NA,0.00914744091989996,NA,0.592295405550505,1.59197904816178,0.231593995132291,-0.182713010275401,NA,NA,-1.79348080024526,8,-169.04966400852,354.099328017041,37.9903248802625,2.51802517377351e-10
3.84492220575421e-16,NA,NA,0.364759061446323,0.639746970551944,NA,0.309972671060833,-0.101915184748674,NA,-0.100647437052089,-0.604572568996242,8,-169.070821891895,354.141643783789,38.0326406470112,2.46530874143125e-10
6.08572051070169e-16,NA,0.0437180721183475,0.831843146301592,0.631297727377155,1.49803332989029,0.368984663515618,NA,NA,-0.0862052841492721,-2.58958910244802,9,-168.071119570955,354.142239141911,38.0332360051324,2.46457497985917e-10
1.58610925484627e-16,NA,NA,NA,0.570363107677582,NA,NA,NA,-0.351312231510868,NA,NA,4,-173.074277214397,354.148554428794,38.0395512920157,2.45680500469905e-10
4.15257278781095e-16,NA,NA,0.566944245518994,0.578718812767366,NA,0.309023546270351,-0.0646526438634011,NA,NA,-0.771483075372586,7,-170.080326618537,354.160653237074,38.0516501002961,2.44198766156749e-10
4.75590739926359e-16,NA,NA,0.341261542561154,0.642374065918945,1.38225887076764,0.293498647984271,-0.108474171653833,NA,-0.0881504470536889,-1.95100660871417,9,-168.114138303693,354.228276607387,38.1192734706084,2.36080022021509e-10
4.8648855897125e-16,NA,0.0136055140302048,0.844698606031279,0.574071897115827,NA,0.356435642967678,NA,NA,NA,-1.06533231892258,7,-170.114440601524,354.228881203049,38.1198780662707,2.36008666328752e-10
4.96895661921989e-16,NA,0.022743907613008,0.805392082669577,0.63070817834513,NA,0.383779084987338,NA,NA,-0.0980561536304517,-1.0698982270597,8,-169.148754147692,354.297508295384,38.188505158606,2.28047737015895e-10
2.89135099712852e-16,NA,-0.00215869563092022,NA,0.644984611846946,NA,0.268805672733758,-0.176355199951414,NA,-0.105055958888672,-0.241156530234217,8,-169.15511516873,354.310230337461,38.2012272006825,2.26601724496818e-10
3.89534389285805e-16,NA,0.0171224919835647,NA,0.645784089326491,1.44001882027091,0.255834423206529,-0.179112674456997,NA,-0.0939604022146097,-1.67901925397585,9,-168.158118218901,354.316236437802,38.2072333010233,2.25922248909736e-10
1.6028429083817e-16,NA,NA,0.0878617616466141,0.545022891210644,NA,NA,NA,-0.315260887594137,NA,NA,5,-172.160082435752,354.320164871505,38.2111617347267,2.25478924156765e-10
1.73989521492956e-16,NA,NA,-0.499918665206859,0.653763618220204,0.301806998247764,0.161084146423377,-0.287339104893499,NA,-0.107046014559275,NA,8,-169.196839649151,354.393679298303,38.2846761615244,2.17341419413454e-10
6.53062204355994e-16,NA,0.0440841750354065,1.13301863155572,0.61377886655496,1.70644891852171,NA,NA,NA,NA,-2.74646454364692,7,-170.23770537412,354.47541074824,38.3664076114621,2.08638638576152e-10
2.66241495064249e-16,NA,-0.0134916731491887,NA,0.584329402698172,NA,0.242910512722466,-0.180102032694708,NA,NA,-0.198958264908332,7,-170.267902337763,354.535804675526,38.4268015387477,2.02432559150693e-10
2.31089486600746e-16,NA,-0.0105061321737324,-0.210746318671534,0.649518043893403,NA,0.215116365135896,-0.224051714269188,NA,-0.10566199023431,NA,8,-169.28269090251,354.56538180502,38.4563786682414,1.99460899591427e-10
2.20913737711292e-16,NA,-0.0231048401746974,NA,0.532094412101977,NA,0.492616921761686,NA,-0.275683462438619,-0.0197149705092993,-0.381149914737861,8,-169.286389494714,354.572778989429,38.4637758526506,1.98724537653761e-10
3.19518830610953e-16,NA,-0.00427166621199653,NA,0.531407967155947,1.42774779383946,0.483451055472104,NA,-0.279204285456309,-0.00763697291744725,-1.80909450462312,9,-168.307858481144,354.615716962289,38.5067138255102,1.94503595055518e-10
1.62560377026802e-16,NA,NA,-0.44574055863508,0.590307172171299,0.29318320492598,0.132324480936002,-0.282240614067026,NA,NA,NA,7,-170.35530201735,354.7106040347,38.601600897922,1.85491138544669e-10
1.52993209721695e-16,NA,-0.0552510344041987,NA,0.538436093818843,NA,0.134598018441876,NA,-0.305733120245832,NA,NA,6,-171.363777042837,354.727554085674,38.6185509488958,1.83925739187325e-10
1.55346102785468e-16,NA,-0.0283477456800336,-0.402497912942518,0.563525079904346,0.251442394286855,0.121494469244127,-0.252230812863769,-0.247047428046833,-0.0242142812101517,NA,10,-167.377968464367,354.755936928735,38.6469337919566,1.81334005184116e-10
1.49970419291781e-16,NA,-0.0176676173574107,-0.633604354346638,0.668174347539174,0.562042903113092,NA,-0.344705298525006,NA,-0.101396736189197,NA,8,-169.395525777922,354.791051555844,38.6820484190661,1.78178053286016e-10
2.19938260560937e-16,NA,-0.0206948793391434,-0.163076517495563,0.588368472258734,NA,0.188404735270417,-0.219183395632454,NA,NA,NA,7,-170.398878188454,354.797756376909,38.6887532401303,1.77581727426623e-10
